,open,high,low,close,volume
2022-10-17,54.1800,55.6200,53.8400,55.2500,1776863
2022-10-18,56.4700,57.9900,55.9000,57.1400,2913706
2022-10-19,57.5200,58.1700,57.0400,57.4700,1794682
2022-10-20,57.0300,57.9800,56.3800,57.0000,2004413
2022-10-21,56.4100,57.5200,56.0800,56.9300,3061172
2022-10-24,57.6100,58.5500,56.9200,58.4400,2501917
2022-10-25,59.0900,59.2500,57.2000,58.3000,2382138
2022-10-26,58.7200,58.9400,57.0700,58.9400,2716922
2022-10-27,58.6200,59.3500,57.7800,58.8100,2247948
2022-10-28,57.6400,58.5200,56.7400,58.2000,2818548
2022-10-31,58.8300,58.8500,57.9100,58.6000,1472138
2022-11-01,58.9900,59.7700,58.6000,59.1400,1617080
2022-11-02,59.5000,59.5900,58.0400,58.0400,1935690
2022-11-03,57.6000,57.7500,56.5200,57.0700,2531028
2022-11-04,57.4000,59.7400,57.2300,59.7400,2986616
2022-11-07,59.2500,60.8600,59.1300,59.8300,1982248
2022-11-08,59.8900,60.7700,59.7100,60.6800,2214419
2022-11-09,60.5600,60.6600,59.5900,59.9200,1656985
2022-11-10,59.8700,63.4200,59.8200,63.3400,4408393
2022-11-11,63.8000,65.2200,63.7400,64.7900,3448590
2022-11-14,65.5500,65.8300,64.4600,64.9400,1863787
2022-11-15,65.5300,65.6100,64.3100,65.1900,1814287
2022-11-16,64.4200,64.5400,60.5100,61.1500,5855377
2022-11-17,61.6100,61.9200,59.4100,60.2200,2955510
2022-11-18,60.8200,62.4500,60.6600,62.2200,4348709
2022-11-21,61.6800,62.4700,61.5500,61.9100,1389921
2022-11-22,61.8000,62.7300,61.6600,62.1600,1597248
2022-11-23,62.3500,62.5000,61.1600,62.0800,1565578
2022-11-24,62.0500,62.6600,62.0200,62.5000,1181204
2022-11-25,62.6000,62.7000,61.9500,62.3700,1251984
2022-11-28,61.7000,62.0800,61.2700,61.5100,1822227
2022-11-29,61.7800,62.6500,61.5400,62.5400,2166881
2022-11-30,62.7300,64.7000,62.7300,64.4000,4058987
2022-12-01,65.2200,65.3700,63.2500,64.1600,1819216
2022-12-02,63.4300,64.6300,63.4000,64.0900,1784916
2022-12-05,64.4500,64.6500,63.5100,64.2600,2148286
2022-12-06,64.5800,64.8900,63.5700,63.7800,1529196
2022-12-07,63.5000,64.3100,63.0700,63.1200,1582496
2022-12-08,63.2000,63.5200,62.5900,63.1200,1804621
2022-12-09,63.4700,64.9800,63.1500,64.7900,2692302
2022-12-12,64.5000,64.7000,63.9800,64.0500,1797201
2022-12-13,64.1700,65.6800,63.7900,64.6100,2463128
2022-12-14,64.2700,64.8300,64.0700,64.5600,2312355
2022-12-15,64.2000,64.7800,62.0400,62.1000,3837595
2022-12-16,62.2200,62.9700,61.6100,62.0300,5172715
2022-12-19,62.1000,63.0500,61.9800,62.6300,1503334
2022-12-20,62.1900,62.3100,61.5200,62.0000,1788337
2022-12-21,62.2200,62.8600,61.7600,62.8600,1292377
2022-12-22,62.9700,63.0600,60.7200,61.0000,1950310
2022-12-23,60.9100,61.7500,60.8000,61.3500,961726
